"","input","output","value"
"507","561300/US","332320/US",6.85830263394156e-05
"1266","484000/US","3363A0/US",6.85309960511901e-05
"126","523A00/US","331200/US",6.8143571957122e-05
"362","332999/US","332119/US",6.81053611917529e-05
"283","524200/US","332114/US",6.80392667329333e-05
"426","721000/US","332119/US",6.78850879691207e-05
"403","5241XX/US","332119/US",6.77887642342428e-05
"725","333514/US","332720/US",6.77712333341041e-05
"400","522A00/US","332119/US",6.7757727523803e-05
"430","811200/US","332119/US",6.77249728343115e-05
"538","3259A0/US","332420/US",6.76997276919181e-05
"414","541700/US","332119/US",6.74038200297795e-05
"1600","541512/US","GSLGO/US",6.73454984074524e-05
"1563","532100/US","562000/US",6.72526095421653e-05
"516","221100/US","332420/US",6.71712564447625e-05
"1295","325520/US","322210/US",6.71374418198308e-05
"913","518200/US","332999/US",6.69991495190403e-05
"61","3219A0/US","3219A0/US",6.69186825218437e-05
"1594","518200/US","GSLGO/US",6.68686409103173e-05
"469","550000/US","332310/US",6.63816907242026e-05
"47","48A000/US","321910/US",6.6310388918224e-05
"1457","493000/US","326120/US",6.62823995097404e-05
"778","333994/US","332800/US",6.61148308421389e-05
"696","423A00/US","332710/US",6.60382907825066e-05
"1053","221100/US","333613/US",6.56440618037029e-05
"524","33211A/US","332420/US",6.54601867402819e-05
"280","518200/US","332114/US",6.53336817390219e-05
"1167","316000/US","336360/US",6.53333043748039e-05
"935","S00300/US","332999/US",6.52165138455957e-05
"1027","334220/US","33351B/US",6.51955532204179e-05
"1561","5241XX/US","562000/US",6.50679809287621e-05
"727","334413/US","332720/US",6.48067420757122e-05
"242","561300/US","331520/US",6.45927646977587e-05
"663","541300/US","332600/US",6.42964400386962e-05
"641","326190/US","332600/US",6.41238416600894e-05
"1004","331110/US","333517/US",6.39572110704839e-05
"1559","518200/US","562000/US",6.36554270394413e-05
"1061","332710/US","333613/US",6.3556094922413e-05
"892","335920/US","332999/US",6.35077036034316e-05
"684","331520/US","332710/US",6.34926080305548e-05
"1147","332114/US","336350/US",6.31685634011961e-05
"59","321200/US","3219A0/US",6.31186919513825e-05
"1223","423A00/US","336390/US",6.29899923037282e-05
"992","423800/US","333514/US",6.28761782343664e-05
"865","230301/US","332999/US",6.26325574795152e-05
"397","517210/US","332119/US",6.2620940388503e-05
"27","221100/US","321910/US",6.25031123787992e-05
"271","423600/US","332114/US",6.24465568072651e-05
"1581","811400/US","562000/US",6.21272987026272e-05
"702","550000/US","332710/US",6.21060594449656e-05
"245","221200/US","332114/US",6.20314198800723e-05
"1443","322210/US","326120/US",6.19398329233904e-05
"62","336390/US","3219A0/US",6.19376492164703e-05
"629","33291A/US","332600/US",6.19308686867445e-05
"1455","482000/US","326120/US",6.18771733302201e-05
"1205","332720/US","336390/US",6.16649791779604e-05
"930","561300/US","332999/US",6.13986904465275e-05
"449","332720/US","332310/US",6.13934883022561e-05
"114","326110/US","331200/US",6.13635014706697e-05
"1456","484000/US","326120/US",6.13028743447278e-05
"1363","313200/US","322291/US",6.1294506999765e-05
"121","482000/US","331200/US",6.08653925332492e-05
"899","325520/US","332999/US",6.06171088887164e-05
"784","336390/US","332800/US",6.05003825622031e-05
"646","424A00/US","332600/US",6.04130178126355e-05
"747","541100/US","332720/US",5.99123387368282e-05
"708","230301/US","332720/US",5.97558582512182e-05
"223","332710/US","331520/US",5.96745687851397e-05
"886","333517/US","332999/US",5.96704021588049e-05
"1492","311221/US","326150/US",5.95441393060024e-05
"108","335920/US","331200/US",5.95320617923977e-05
"781","334418/US","332800/US",5.93788859791508e-05
"9","221100/US","321200/US",5.93155235526673e-05
"158","334413/US","33131B/US",5.91131993497003e-05
"484","332500/US","332320/US",5.87622213161706e-05
"909","482000/US","332999/US",5.86577618636105e-05
"195","212230/US","331490/US",5.85185971734813e-05
"925","541300/US","332999/US",5.84025775465851e-05
"1043","541511/US","33351B/US",5.82364886466472e-05
"1560","52A000/US","562000/US",5.81498947299953e-05
"184","331490/US","331410/US",5.80662494512815e-05
"75","2122A0/US","331110/US",5.79119797367751e-05
"483","332320/US","332320/US",5.78380112452245e-05
"374","324110/US","332119/US",5.77116189417197e-05
"220","331490/US","331520/US",5.76550129861853e-05
"1062","332720/US","333613/US",5.75743248700609e-05
"1021","331510/US","33351B/US",5.75737375822904e-05
"329","550000/US","33211A/US",5.74955660277918e-05
"1192","336370/US","336370/US",5.74866934340505e-05
"429","811100/US","332119/US",5.74807578477729e-05
"740","52A000/US","332720/US",5.74438601221201e-05
"422","561500/US","332119/US",5.69986298816871e-05
"1522","325190/US","326160/US",5.69561391993711e-05
"970","221100/US","333514/US",5.69355808529987e-05
"1051","423800/US","333612/US",5.67480366626058e-05
"332","561400/US","33211A/US",5.67235768473666e-05
"1100","336350/US","336310/US",5.65843983994369e-05
"1131","423A00/US","336320/US",5.65230319608759e-05
"1270","336412/US","336412/US",5.64856399780655e-05
"999","531ORE/US","333514/US",5.63865451143428e-05
"531","33351B/US","332420/US",5.60506974720361e-05
"124","518200/US","331200/US",5.60480621177653e-05
"1095","331520/US","336310/US",5.5821333507948e-05
"1293","322210/US","322210/US",5.57509096473247e-05
"659","533000/US","332600/US",5.57303853876735e-05
"1013","550000/US","333517/US",5.55949822209356e-05
"883","332800/US","332999/US",5.55837624661077e-05
"474","561900/US","332310/US",5.55156353723267e-05
"614","331490/US","332600/US",5.54994648808925e-05
"893","336390/US","332999/US",5.54931415552903e-05
"1201","331110/US","336390/US",5.53943540887586e-05
"1500","3252A0/US","326150/US",5.53637366421285e-05
"867","327910/US","332999/US",5.52438767018556e-05
"1411","424A00/US","323110/US",5.521002953e-05
"1121","335930/US","336320/US",5.51667984544611e-05
"1407","325910/US","323110/US",5.51173667003337e-05
"76","221100/US","331110/US",5.51031331017457e-05
"954","423A00/US","333414/US",5.50857113798126e-05
"862","212230/US","332999/US",5.49969481701672e-05
"48","493000/US","321910/US",5.498424954767e-05
"490","325190/US","332320/US",5.47961694909605e-05
"812","541100/US","332800/US",5.4785333947838e-05
"1485","424A00/US","326140/US",5.4581441086464e-05
"265","334418/US","332114/US",5.45234065972497e-05
"1073","484000/US","333613/US",5.44162126867222e-05
"297","811300/US","332114/US",5.42587931669182e-05
"906","424A00/US","332999/US",5.41935546015198e-05
"676","811300/US","332600/US",5.38371798076559e-05
"896","324110/US","332999/US",5.37479881368755e-05
