FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
20237511,PM2.5 Primary (Filt + Cond),air,1185.9802734888879,kg,2.0,NEI,2020,110070207829,Kentucky,Warren,21227,331318
20237511,Sulfur Dioxide,air,17.278875587358,kg,3.0,NEI,2020,110070207829,Kentucky,Warren,21227,331318
20237511,Volatile Organic Compounds,air,201.051416059725,kg,3.0000000000000004,NEI,2020,110070207829,Kentucky,Warren,21227,331318
2355311,Carbon Monoxide,air,4328.36346022696,kg,5.0,NEI,2020,110000479633,California,Riverside,06065,331318
2355311,Nitrogen Oxides,air,6187.363707880741,kg,5.0,NEI,2020,110000479633,California,Riverside,06065,331318
2355311,PM2.5 Primary (Filt + Cond),air,1375.6592408077147,kg,4.999999999999999,NEI,2020,110000479633,California,Riverside,06065,331318
2355311,Sulfur Dioxide,air,66.175815558699,kg,5.0,NEI,2020,110000479633,California,Riverside,06065,331318
2355311,Volatile Organic Compounds,air,811.2091566175876,kg,5.0,NEI,2020,110000479633,California,Riverside,06065,331318
2572411,Carbon Dioxide,air,6754168.197509041,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2572411,Carbon Monoxide,air,4730.0612343600005,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2572411,Nitrogen Oxides,air,5628.17412696,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2572411,PM2.5 Primary (Filt + Cond),air,449.0564463,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2572411,Sulfur Dioxide,air,29.937096420000003,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2572411,Volatile Organic Compounds,air,329.30806062000005,kg,2.0,NEI,2020,110018100222,Illinois,Jackson,17077,331318
2614811,Carbon Monoxide,air,5452.242883147061,kg,2.885015962379134,NEI,2020,110002084360,Georgia,Laurens,13175,331313
2614811,Nitrogen Oxides,air,4973.4815797205,kg,4.601982370618305,NEI,2020,110002084360,Georgia,Laurens,13175,331313
2614811,PM2.5 Primary (Filt + Cond),air,1894.0375366820601,kg,1.8256707118768436,NEI,2020,110002084360,Georgia,Laurens,13175,331313
2614811,Sulfur Dioxide,air,38.94816244242,kg,3.0,NEI,2020,110002084360,Georgia,Laurens,13175,331313
2614811,Volatile Organic Compounds,air,63198.853677445935,kg,3.896534066392976,NEI,2020,110002084360,Georgia,Laurens,13175,331313
